estado,129102214,64624465,5,3205748,1005313,10103066,5268580,112,601310,462989,29898698,6665170,757249,407,2583890,1451919,8323,330734,611,39254,56550,2037821
Norte,7551191,2241762,0,185096,49224,693364,176919,5,27899,17709,2941179,853956,54163,6,133785,89540,280,6886,1,571,8061,70785
Acre ,387557,110211,0,8506,1669,36463,7461,0,1203,601,166274,41422,1455,0,6224,2873,28,443,0,3,220,2501
Amapá ,281414,108536,0,5196,837,30080,7991,1,5553,618,92319,20732,1566,0,2132,2394,33,448,0,11,471,2496
Amazonas,1279847,477643,0,24412,6264,115146,38748,2,2376,4069,450380,112150,11267,0,5885,17334,0,667,0,104,2847,10553
Pará ,3028300,792248,0,77952,17311,241857,61739,0,11440,7926,1328708,352994,23771,2,44362,28005,138,3761,0,292,3827,31967
Rondônia ,1295415,360976,0,34186,10356,137068,25115,1,3521,1640,492588,165405,7789,3,27160,18722,23,631,0,59,399,9773
Roraima,305045,101967,0,7532,1791,37696,10541,1,1283,931,103763,26949,1702,0,4192,3286,5,441,0,36,97,2832
Tocantins,973613,290181,0,27312,10996,95054,25324,0,2523,1924,307147,134304,6613,1,43830,16926,53,495,1,66,200,10663
Nordeste,23572663,8516056,1,550731,99338,1682371,658819,10,267279,109710,9096497,1543348,161953,18,369642,154212,1408,22570,17,1554,11518,325611
Alagoas,1242109,458093,0,28893,3820,74839,36363,0,21273,8655,471201,71822,10946,0,32242,5771,38,614,0,138,344,17057
Bahia,5712095,2311984,0,149547,35311,513929,181329,0,29118,36762,1821309,340882,50916,5,99285,56714,453,5545,6,393,3412,75195
Ceará,4095525,1402180,0,84056,13916,262143,92520,0,16272,14033,1776411,259839,21756,8,55811,21233,424,7052,0,250,1872,65749
Maranhão ,2392096,583306,0,50996,9945,180645,43037,0,16057,6390,1174438,245424,12563,2,27221,17458,23,1126,2,91,645,22727
Paraíba ,1792957,669299,0,35021,4355,110703,51048,0,44217,6106,692060,115861,9862,0,17784,5825,23,433,0,51,580,29729
Pernambuco ,3924951,1542861,0,99723,17179,232931,136808,8,56410,22115,1454711,187832,26641,1,66783,24267,137,4391,0,293,2038,49822
Piauí,1623112,458824,0,36780,5449,122555,36762,2,11095,5366,749603,143796,10864,0,13617,9164,233,174,0,76,1403,17349
Rio Grande do Norte ,1720240,688195,0,40557,5263,120395,56843,0,34887,6174,586977,97344,9000,0,27576,8412,37,1969,9,127,681,35794
Sergipe,1069578,401314,1,25158,4100,64231,24109,0,37950,4109,369787,80548,9405,2,29323,5368,40,1266,0,135,543,12189
Sudeste,60749895,34568735,4,1393743,412358,4371149,2853931,85,209964,239186,11268297,2355052,347526,193,997512,554464,3330,140121,202,19514,26737,987792
Espírito Santo,2661373,1195827,0,87966,25359,258400,110407,0,4082,10100,621707,178918,18188,4,50678,35391,110,3579,15,3405,3098,54139
Minas Gerais ,14494037,7530747,0,407479,114436,1419659,484355,0,63549,56503,3255082,437284,96310,18,287878,137460,1308,26724,27,2750,7616,164852
Rio de Janeiro,8266784,5066319,0,164201,28245,403213,423319,2,48897,43038,1424138,325518,47551,15,115990,31598,152,10567,8,794,4487,128732
São Paulo ,35327701,20775842,4,734097,244318,2289877,1835850,83,93436,129545,5967370,1413332,185477,156,542966,350015,1760,99251,152,12565,11536,640069
Sul,24847404,13721604,0,751604,302597,2094810,1179872,12,34727,66928,3923099,990652,121544,157,634875,418770,1183,131663,384,16075,6089,450759
Paraná,9638181,5257118,0,312266,131692,878621,390564,0,15968,28216,1578919,405121,52924,71,202073,183483,482,51601,85,2385,2939,143653
Rio Grande do Sul ,8527152,4931628,0,259598,87455,705190,414965,4,11377,23811,1252065,234027,44791,62,246861,112092,262,51542,137,9852,1764,139669
Santa Catarina,6682071,3532858,0,179740,83450,510999,374343,8,7382,14901,1092115,351504,23829,24,185941,123195,439,28520,162,3838,1386,167437
Centro-Oeste,12381061,5576308,0,324574,141796,1261372,399039,0,61441,29456,2669626,922162,72063,33,448076,234933,2122,29494,7,1540,4145,202874
Distrito Federal,2239078,1468059,0,28950,5053,162789,133171,0,1876,6763,271536,32756,14606,20,29376,6296,692,9679,1,720,745,65990
Goiás,5139959,2254497,0,133797,49624,524062,137986,0,45566,12565,1125351,385762,28129,4,285162,74166,121,13699,1,305,1431,67731
Mato Grosso,2966603,964278,0,98277,60361,349636,75720,0,9245,5124,809307,350230,17310,5,76916,106622,543,1769,1,237,1201,39821
Mato Grosso do Sul,2035421,889474,0,63550,26758,224885,52162,0,4754,5004,463432,153414,12018,4,56622,47849,766,4347,4,278,768,29332
,129102214,64624465,5,3205748,1005313,10103066,5268580,112,601310,462989,29898698,6665170,757249,407,2583890,1451919,8323,330734,611,39254,56550,2037821
,100%,0.5005682164366291,3.872900274196692e-08,0.024831084616410995,0.007786953986706998,0.07825633416325455,0.04080936985325442,8.67529661420059e-07,0.004657627327754425,0.0035862204501001045,0.23158935136464817,0.05162707744113513,0.0058654997194703415,3.152540823196107e-06,0.02001429657898818,0.011246274986422774,6.446829796427814e-05,0.0025617995985723375,4.7326841350683574e-06,0.0003040536547266339,0.00043802502101164585,0.015784555019327552
"Fonte: Ministério dos Transportes, SENATRAN - Secretaria Nacional de Trânsito, RENAVAM-Registro Nacional de Veículos Automotores",,,,,,,,,,,,,,,,,,,,,,
